"ID";"Manufacturer";"Country";"Continent";"Modell";"Sales";"Sales_2cl";"Sales_grouped";"Resaleprice";"Type";"Purchase_price";"Purchase_3cl";"Capacity";"HP";"HP_3cl";"Wheelbase";"Width";"Length";"Weight";"Ranking";"Year"
130;"Saturn";"USA";"USA";"LS";49.989;"30.000 and more";"40.000 up to 60.000";Auto;"PKW";15.01;"Up to 20.000";2.2;137;"unter 155 PS";106.5;175.26;190.4;2.91;5.695;1999
131;"Saturn";"USA";"USA";"SW";5.223;"Up to 30.000";"5.000 up to 10.000";10.79;"PKW";14.29;"Up to 20.000";1.9;124;"unter 155 PS";102.4;168.656;176.9;2.452;6.12;1995
132;"Saturn";"USA";"USA";"SC";24.546;"Up to 30.000";"20.000 up to 30.000";10.59;"PKW";12.535;"Up to 20.000";1.9;100;"unter 155 PS";102.4;168.656;180;2.367;6.035;1996
133;"Saturn";"USA";"USA";"SL";80.62;"30.000 and more";"80.000 up to 100.000";9.2;"PKW";10.685;"Up to 20.000";1.9;100;"unter 155 PS";102.4;168.656;176.9;2.332;7.225;1995
134;"Subaru";"Japan";"Asia";"Outback";47.107;"30.000 and more";"40.000 up to 60.000";Auto;"PKW";22.695;"20.000 up to 30.000";2.5;165;"155-210 PS";103.5;171.45;185.8;3.415;4.93;1999
135;"Subaru";"Japan";"Asia";"Forester";33.028;"30.000 and more";"30.000 up to 40.000";Auto;"SUV";20.095;"20.000 up to 30.000";2.5;165;"155-210 PS";99.4;173.482;175.2;3.125;5.355;1997
136;"Toyota";"Japan";"Asia";"Land Cruiser";9.835;"Up to 30.000";"5.000 up to 10.000";34.08;"SUV";51.728;"30.000 and more";4.7;230;"mehr als 210 PS";112.2;194.056;192.5;5.115;3.4;1998
137;"Toyota";"Japan";"Asia";"Avalon";63.849;"30.000 and more";"60.000 up to 80.000";18.14;"PKW";25.545;"20.000 up to 30.000";3;210;"mehr als 210 PS";107.1;182.118;191.9;3.417;5.95;1995
138;"Toyota";"Japan";"Asia";"Sienna";65.119;"30.000 and more";"60.000 up to 80.000";Auto;"SUV";22.368;"20.000 up to 30.000";3;194;"155-210 PS";114.2;186.436;193.5;3.759;4.335;1998
139;"Toyota";"Japan";"Asia";"4Runner";68.411;"30.000 and more";"60.000 up to 80.000";19.425;"SUV";22.288;"20.000 up to 30.000";2.7;150;"unter 155 PS";105.3;168.91;183.3;3.44;5.695;1995
140;"Toyota";"Japan";"Asia";"Camry";247.994;"30.000 and more";"100.000 and more";13.245;"PKW";17.518;"Up to 20.000";2.2;133;"unter 155 PS";105.2;178.054;188.5;2.998;5.015;1996
141;"Toyota";"Japan";"Asia";"RAV4";25.106;"Up to 30.000";"20.000 up to 30.000";13.325;"SUV";16.888;"Up to 20.000";2;127;"unter 155 PS";94.9;169.418;163.8;2.668;4.505;1997
142;"Toyota";"Japan";"Asia";"Celica";33.269;"30.000 and more";"30.000 up to 40.000";15.445;"PKW";16.875;"Up to 20.000";1.8;140;"unter 155 PS";102.4;173.482;170.5;2.425;5.27;1999
143;"Toyota";"Japan";"Asia";"Tacoma";84.087;"30.000 and more";"80.000 up to 100.000";9.575;"SUV";11.528;"Up to 20.000";2.4;142;"unter 155 PS";103.3;168.91;178.7;2.58;7.565;1995
144;"Volkswagen";"Germany";"Europe";"Passat";51.102;"30.000 and more";"40.000 up to 60.000";16.725;"PKW";21.2;"20.000 up to 30.000";1.8;150;"unter 155 PS";106.4;173.99;184.1;3.043;5.355;1996
145;"Volkswagen";"Germany";"Europe";"Cabrio";9.569;"Up to 30.000";"5.000 up to 10.000";16.575;"PKW";19.99;"Up to 20.000";2;115;"unter 155 PS";97.4;169.418;160.4;3.079;3.825;1995
146;"Volkswagen";"Germany";"Europe";"GTI";5.596;"Up to 30.000";"5.000 up to 10.000";13.76;"PKW";17.5;"Up to 20.000";2;115;"unter 155 PS";98.9;173.482;163.3;2.762;4.59;1997
147;"Volkswagen";"Germany";"Europe";"Jetta";83.721;"30.000 and more";"80.000 up to 100.000";13.24;"PKW";16.7;"Up to 20.000";2;115;"unter 155 PS";98.9;173.482;172.3;2.853;4.165;1998
148;"Volkswagen";"Germany";"Europe";"Beetle";49.463;"30.000 and more";"40.000 up to 60.000";Auto;"PKW";15.9;"Up to 20.000";2;115;"unter 155 PS";98.9;172.466;161.1;2.769;5.61;1985
149;"Volkswagen";"Germany";"Europe";"Golf";9.761;"Up to 30.000";"5.000 up to 10.000";11.425;"PKW";14.9;"Up to 20.000";2;115;"unter 155 PS";98.9;173.482;163.3;2.767;6.375;1999
150;"Volvo";"Other";"Europe";"C70";3.493;"Up to 30.000";"Up to 5.000";Auto;"PKW";45.5;"30.000 and more";2.3;236;"mehr als 210 PS";104.9;181.61;185.7;3.601;5.1;1997
151;"Volvo";"Other";"Europe";"S80";18.969;"Up to 30.000";"10.000 up to 20.000";Auto;"PKW";36;"30.000 and more";2.9;201;"155-210 PS";109.9;183.134;189.8;3.6;6.29;1998
152;"Volvo";"Other";"Europe";"V70";17.531;"Up to 30.000";"10.000 up to 20.000";Auto;"PKW";28.8;"20.000 up to 30.000";2.4;168;"155-210 PS";104.9;176.022;186.2;3.259;6.8;2000
153;"Volvo";"Other";"Europe";"S70";15.245;"Up to 30.000";"10.000 up to 20.000";Auto;"PKW";27.5;"20.000 up to 30.000";2.4;168;"155-210 PS";104.9;176.022;185.9;3.208;5.78;1996
154;"Volvo";"Other";"Europe";"V40";3.545;"Up to 30.000";"Up to 5.000";Auto;"PKW";24.4;"20.000 up to 30.000";1.9;160;"155-210 PS";100.5;171.704;176.6;3.042;6.715;1995
155;"Volvo";"Other";"Europe";"S40";16.957;"Up to 30.000";"10.000 up to 20.000";Auto;"PKW";23.4;"20.000 up to 30.000";1.9;160;"155-210 PS";100.5;171.704;176.6;2.998;4.42;1995
